n,n_next,t_hat_1e6_n,t_hat_1e6_next,delta_t_hat_1e6,abs_delta_t_hat_1e6,fracture_threshold_1e6,fracture_class
2058,2059,0,613636,613636,613636,200000,STRONG
2059,2060,613636,0,-613636,613636,200000,STRONG
2070,2071,0,386363,386363,386363,200000,MODERATE
2071,2072,386363,0,-386363,386363,200000,MODERATE
2076,2077,0,659090,659090,659090,200000,STRONG
2077,2078,659090,0,-659090,659090,200000,STRONG
2100,2101,0,204545,204545,204545,200000,MODERATE
2101,2102,204545,0,-204545,204545,200000,MODERATE
2116,2117,0,600000,600000,600000,200000,STRONG
2117,2118,600000,0,-600000,600000,200000,STRONG
2118,2119,0,244444,244444,244444,200000,MODERATE
2119,2120,244444,0,-244444,244444,200000,MODERATE
2122,2123,0,200000,200000,200000,200000,MODERATE
2123,2124,200000,0,-200000,200000,200000,MODERATE
2146,2147,0,377777,377777,377777,200000,MODERATE
2147,2148,377777,0,-377777,377777,200000,MODERATE
2158,2159,0,333333,333333,333333,200000,MODERATE
2159,2160,333333,0,-333333,333333,200000,MODERATE
2166,2167,0,200000,200000,200000,200000,MODERATE
2167,2168,200000,0,-200000,200000,200000,MODERATE
2170,2171,0,244444,244444,244444,200000,MODERATE
2171,2172,244444,0,-244444,244444,200000,MODERATE
2172,2173,0,866666,866666,866666,200000,EXTREME
2173,2174,866666,0,-866666,866666,200000,EXTREME
2182,2183,0,777777,777777,777777,200000,STRONG
2183,2184,777777,0,-777777,777777,200000,STRONG
2188,2189,0,200000,200000,200000,200000,MODERATE
2189,2190,200000,0,-200000,200000,200000,MODERATE
2196,2197,0,244444,244444,244444,200000,MODERATE
2197,2198,244444,0,-244444,244444,200000,MODERATE
2200,2201,0,644444,644444,644444,200000,STRONG
2201,2202,644444,0,-644444,644444,200000,STRONG
2208,2209,0,978260,978260,978260,200000,EXTREME
2209,2210,978260,0,-978260,978260,200000,EXTREME
2226,2227,0,326086,326086,326086,200000,MODERATE
2227,2228,326086,0,-326086,326086,200000,MODERATE
2230,2231,0,456521,456521,456521,200000,MODERATE
2231,2232,456521,0,-456521,456521,200000,MODERATE
2248,2249,0,239130,239130,239130,200000,MODERATE
2249,2250,239130,0,-239130,239130,200000,MODERATE
2256,2257,0,760869,760869,760869,200000,STRONG
2257,2258,760869,0,-760869,760869,200000,STRONG
2262,2263,0,630434,630434,630434,200000,STRONG
2263,2264,630434,0,-630434,630434,200000,STRONG
2278,2279,0,891304,891304,891304,200000,EXTREME
2279,2280,891304,0,-891304,891304,200000,EXTREME
2290,2291,0,586956,586956,586956,200000,STRONG
2291,2292,586956,0,-586956,586956,200000,STRONG
2322,2323,0,446808,446808,446808,200000,MODERATE
2323,2324,446808,0,-446808,446808,200000,MODERATE
2326,2327,0,234042,234042,234042,200000,MODERATE
2327,2328,234042,0,-234042,234042,200000,MODERATE
2328,2329,0,319148,319148,319148,200000,MODERATE
2329,2330,319148,0,-319148,319148,200000,MODERATE
2352,2353,0,234042,234042,234042,200000,MODERATE
2353,2354,234042,0,-234042,234042,200000,MODERATE
2362,2363,0,319148,319148,319148,200000,MODERATE
2363,2364,319148,0,-319148,319148,200000,MODERATE
2368,2369,0,446808,446808,446808,200000,MODERATE
2369,2370,446808,0,-446808,446808,200000,MODERATE
2406,2407,0,562500,562500,562500,200000,STRONG
2407,2408,562500,0,-562500,562500,200000,STRONG
2412,2413,0,354166,354166,354166,200000,MODERATE
2413,2414,354166,0,-354166,354166,200000,MODERATE
2418,2419,0,812500,812500,812500,200000,EXTREME
2419,2420,812500,0,-812500,812500,200000,EXTREME
2448,2449,0,604166,604166,604166,200000,STRONG
2449,2450,604166,0,-604166,604166,200000,STRONG
2460,2461,0,437500,437500,437500,200000,MODERATE
2461,2462,437500,0,-437500,437500,200000,MODERATE
2478,2479,0,729166,729166,729166,200000,STRONG
2479,2480,729166,0,-729166,729166,200000,STRONG
2482,2483,0,229166,229166,229166,200000,MODERATE
2483,2484,229166,0,-229166,229166,200000,MODERATE
2488,2489,0,354166,354166,354166,200000,MODERATE
2489,2490,354166,0,-354166,354166,200000,MODERATE
2490,2491,0,937500,937500,937500,200000,EXTREME
2491,2492,937500,0,-937500,937500,200000,EXTREME
2500,2501,0,795918,795918,795918,200000,STRONG
2501,2502,795918,0,-795918,795918,200000,STRONG
2506,2507,0,428571,428571,428571,200000,MODERATE
2507,2508,428571,0,-428571,428571,200000,MODERATE
2508,2509,0,224489,224489,224489,200000,MODERATE
2509,2510,224489,0,-224489,224489,200000,MODERATE
2532,2533,0,306122,306122,306122,200000,MODERATE
2533,2534,306122,0,-306122,306122,200000,MODERATE
2536,2537,0,836734,836734,836734,200000,EXTREME
2537,2538,836734,0,-836734,836734,200000,EXTREME
2560,2561,0,224489,224489,224489,200000,MODERATE
2561,2562,224489,0,-224489,224489,200000,MODERATE
2566,2567,0,306122,306122,306122,200000,MODERATE
2567,2568,306122,0,-306122,306122,200000,MODERATE
2572,2573,0,591836,591836,591836,200000,STRONG
2573,2574,591836,0,-591836,591836,200000,STRONG
2580,2581,0,551020,551020,551020,200000,STRONG
2581,2582,551020,0,-551020,551020,200000,STRONG
2586,2587,0,224489,224489,224489,200000,MODERATE
2587,2588,224489,0,-224489,224489,200000,MODERATE
2598,2599,0,428571,428571,428571,200000,MODERATE
2599,2600,428571,0,-428571,428571,200000,MODERATE
2602,2603,0,340000,340000,340000,200000,MODERATE
2603,2604,340000,0,-340000,340000,200000,MODERATE
2622,2623,0,820000,820000,820000,200000,EXTREME
2623,2624,820000,0,-820000,820000,200000,EXTREME
2626,2627,0,700000,700000,700000,200000,STRONG
2627,2628,700000,0,-700000,700000,200000,STRONG
2640,2641,0,340000,340000,340000,200000,MODERATE
