epoch_type,n_start,n_end,length
SHOCK_FREE,25902,25935,34
SHOCK_FREE,25958,25977,20
SHOCK_FREE,25980,26021,42
SHOCK_FREE,26024,26049,26
SHOCK_FREE,26102,26121,20
SHOCK_FREE,26180,26205,26
SHOCK_FREE,26234,26267,34
SHOCK_FREE,26330,26357,28
SHOCK_FREE,26364,26411,48
SHOCK_FREE,26414,26439,26
SHOCK_FREE,26492,26525,34
SHOCK_FREE,26570,26597,28
SHOCK_FREE,26624,26657,34
SHOCK_FREE,26672,26741,70
SHOCK_FREE,26744,26771,28
SHOCK_FREE,26798,26825,28
SHOCK_FREE,26870,26897,28
SHOCK_FREE,26910,26961,52
SHOCK_FREE,27030,27087,58
SHOCK_FREE,27134,27159,26
SHOCK_FREE,27170,27191,22
SHOCK_FREE,27200,27219,20
SHOCK_FREE,27234,27255,22
SHOCK_FREE,27264,27315,52
SHOCK_FREE,27414,27449,36
SHOCK_FREE,27452,27471,20
SHOCK_FREE,27500,27551,52
SHOCK_FREE,27620,27639,20
SHOCK_FREE,27680,27705,26
SHOCK_FREE,27720,27755,36
SHOCK_FREE,27758,27785,28
SHOCK_FREE,27788,27819,32
SHOCK_FREE,27822,27855,34
SHOCK_FREE,27890,27911,22
SHOCK_FREE,27914,27957,44
SHOCK_FREE,27978,28001,24
SHOCK_FREE,28014,28071,58
SHOCK_FREE,28080,28101,22
SHOCK_FREE,28158,28185,28
SHOCK_FREE,28214,28241,28
SHOCK_FREE,28262,28319,58
SHOCK_FREE,28338,28359,22
SHOCK_FREE,28424,28451,28
SHOCK_FREE,28488,28527,40
SHOCK_FREE,28532,28581,50
SHOCK_FREE,28602,28665,64
SHOCK_FREE,28674,28731,58
SHOCK_FREE,28758,28781,24
SHOCK_FREE,28842,28875,34
SHOCK_FREE,28908,28937,30
SHOCK_FREE,28944,28965,22
SHOCK_FREE,29012,29037,26
SHOCK_FREE,29042,29067,26
SHOCK_FREE,29120,29141,22
SHOCK_FREE,29150,29175,26
SHOCK_FREE,29178,29211,34
SHOCK_FREE,29220,29271,52
SHOCK_FREE,29274,29297,24
SHOCK_FREE,29300,29319,20
SHOCK_FREE,29330,29351,22
SHOCK_FREE,29370,29411,42
SHOCK_FREE,29414,29439,26
SHOCK_FREE,29540,29589,50
